hasil_preprocessing;pos_score;neg_score;final_score;label
thread gambar ton hidup aktif kembang kembang ingat pasar kripto dinamis wawas dasar informasi kini laku;19;0;19;positif
is ton dead a thread utas tweet singkat ton toncoin mati;8;3;5;positif
prediksi harga toncoin tumbuh;9;0;9;positif
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet sultan juventus leipzig sporty asher;9;0;9;positif
baca atur sejarah uang mudah coba main pof;15;0;15;positif
ton cobravanguard banyak kenal lambat miskin target gabung komunitas telegram klik;9;10;-1;netral
coba mekanisme kumpul pof;2;0;2;positif
harga toncoin risiko alami turun tingkat bakar turun inflasi tingkat;8;6;2;positif
turun harga toncoin ton selesai token hadap tekan jual ton;8;4;4;positif
jelajah koin kripto atas potensi tumbuh qubetics tron toncoin ethereum solana tawar peluang unik investor;5;8;-3;negatif
xrp toshi ton;0;0;0;netral
cek pagi kripto bitcoin ethereum xrp solana toncoin kapital pasar t dominasi btc indeks takut serakah serakah menang besar onyxcoin xcn cundang besar dexe dexe;17;4;13;positif
airdrop;0;0;0;netral
harga toncoin turun lambat tingkat bakar tingkat saldo mata uang baca lengkap;15;2;13;positif
harga toncoin turun tingkat bakar rendah tingkat saldo tukar baca;13;5;8;positif
zodia custody integrasi jetton toncoin opsi aset digital guna tuju tingkat solusi simpan kripto tahu butuh dunia hilang uang penuh gaya asuh;22;8;14;positif
butuh ribu dolar jaring toncoin uqdynesryfotowcdwtrprxcnqdqdezaakimi gb;3;5;-2;negatif
shockwave minima hadir btc sol eth ton berita rilis pegang bitcoin solana ethereum toncoin perhati minima gelombang kirim tsunami ruang kripto s;7;9;-2;negatif
minggu k toncoin ton pindah bursa tanda tekan jual support resistance pasar bearish momentum arus lemah pasar;15;10;5;positif
harga ath nya ton;3;0;3;positif
toncoin ton tantang tanda terobos spektakuler harga;3;6;-3;negatif
toncoin ton turun capai level rendah november sinyal teknis tingkat inflasi turun tingkat bakar death cross sebab tingkat risiko harga ton tekan jual transfer bursa saham;18;15;3;positif
hadap turun harga ton resiko bentuk death cross turun tingkat bakar naik inflasi tekan nilai baca lengkap;25;3;22;positif
lolll gantung pegang toncoin tinggi;3;5;-2;negatif
ton koin harga paranormal profesional lonjak musim panas peluang kripto besar tonton;15;6;9;positif
paw paw paws hadir paws;2;0;2;positif
henti roqqu kirim ton terima ton usaha nama roqqu usaha tipu rubish roqqu tipu toncoin;6;4;2;positif
toncoin ton perlahan tingkat janji angka cengang;2;0;2;positif
oi lonjak toncoin spekulasi pasar aktivitas paus perhati fundamental;4;4;0;netral
orang koreksi toncoin orang;0;0;0;netral
pasar mata uang kripto kembang ton sorot balik double bottom;3;5;-2;negatif
toncoin ton roket arus bersih tukar lonjak minat investor kuat lonjak dadak;19;0;19;positif
ton lonjak arus bersih tukar tanda potensi akumulasi arus bersih negatif dagang tarik ton beli turun posisi rendah ton turun pasar tunggu putus suku bunga the fed;23;10;13;positif
investasi toncoin;0;0;0;netral
toncoin ton roket arus bersih tukar ton;1;0;1;netral
koreksi harga toncoin incar level lonjak arus masuk tukar;8;3;5;positif
koreksi harga toncoin incar level lonjak arus masuk bursa rabu januari pasar kripto naik jelang temu komite pasar buka federal fomc pidato;18;3;15;positif
toncoin rusak pulih tonton;3;4;-1;netral
jcastef tarik trump luncur jaring solana taruh jaring jup wen ekosistem pilih bagus taruh ekosistem toncoin ton dogs px;19;2;17;positif
bullish ton;4;0;4;positif
ton tumbuh signifikan manfaat juta guna aktif dorong adopsi blockchain nilai total jaring kunci lonjak toncoin oleh nilai telegram rencana integrasi ton platform tingkat fitur bayar;40;0;40;positif
toncoin chainlink jatuh balik main langgar situasi;3;3;0;netral
tes beta pof coba main pof;4;3;1;netral
zodia standard chartered dukung institusional ton jettons;4;0;4;positif
pavel durov ubah tangkap monopoli lawan proyek tinggal ton telegram blockchain solana murah janji;7;3;4;positif
toncoin saksi tingkat besar tekan jual transfer arus masuk toncoin bursa tren turun;9;9;0;netral
analisis harga toncoin ton tarung lanjut ton turun dukung beli desember ton fluktuasi tembus dukung kali beli kali turun turun situasi;27;3;24;positif
toncoin incar bull run toncoin bentuk double bottom iris jatuh tanda potensi tembus ajar;11;6;5;positif
toncoin;0;0;0;netral
taut guna situs web github coinmarketcap telegram telegram komunitas;5;0;5;positif
telegram terima toncoin eksklusif ucap selamat tinggal kripto layan telegram toncoin dukung bayar iklan premium aplikasi mini kuat peran web nya maaf solana izin roda tiga;26;15;11;positif
scroll pimpin semangat tumbuh;7;0;7;positif
investor toncoin avalanche tarik remittix set altcoin ubah bayar global remittix tonjol potensi untung terap dunia nyata;14;0;14;positif
menang hadiah nyata kumpul totem nft langka gabung tempur toncoin tingkat hadiah undang teman taut;21;10;11;positif
temu meme eth toncoin mc toncoin token senang hadir humor hibur dunia kripto sembarang koin toncoin ca xdabfcfdedbfdbedef;10;4;6;positif
fakta tarik orang salah istilah kait ton pedoman merek ton org ton blockchain salah ton blockchain ton ton toncoin gt ton ton blockchain toncoin laku;3;11;-8;negatif
turun tekan jual ton capai bursa support kunci rsi tanda momentum bearish potensi balik;19;13;6;positif
investor toncoin avalance buru buru beli altcoin viral tetap untung x;11;0;11;positif
notcoin nodecoin bitcoin litecoin dogecoin toncoin;0;0;0;netral
dompet cincin kripto bybit tangem spotify bitcoin btc ethereum eth xrp xrp bnb bnb solana sol dogecoin doge cardano tron trx avalanche avax stellar sui toncoin ton shiba inu shib litecoin;0;0;0;netral
prediksi harga toncoin ton februari;6;0;6;positif
kira harga toncoin ton februari;5;0;5;positif
smeone u know selamat saudara henti tari depan toncoin tesla;6;4;2;positif
baru crypto kawan octaspace toncoin layerzero zksync notcoin radar maksud teliti investasi babi buta ngl jalan liar dunia kripto;4;7;-3;negatif
ceo saga bagi pikir industri kripto condong arah gop eth denver tarik awas octaspace toncoin layerzero zksync notcoin laku riset selam ngl;10;5;5;positif
detik tolak gugat coinbase lega uji tuntas investasi proyek octaspace toncoin layerzero zksync tarik crypto ngl;5;4;1;netral
ayo main;6;0;6;positif
tarik ceo bank bicara layar bank bitcoin bitcoin token octaspace toncoin tarik bincang;6;0;6;positif
bitcoin koreksi selesai;2;0;2;positif
tarik dubai investasi juta startup ai proyek kripto octaspace toncoin manfaat kuat ai tanda sektor;12;2;10;positif
ton toncoin momentum integrasi telegram tingkat guna defi ton terobos blockchain;8;0;8;positif
turun ethereum keras tunggu sebentar tarik simpul volatilitas aneh dunia kripto sisi octaspace toncoin tarik awas;18;2;16;positif
unus sed leo leo shiba inu shib toncoin ton hedera hbar polkadot dot laku riset nasihat finansial;0;3;-3;negatif
smeone u know influencer toncoin terima komunikasi implikasi positif negatif blockchain orang bicara negatif ekosistem ton ambil poin dorong baik;12;14;-2;negatif
ethereum alami sulit aksi jual bangkit proyek alternatif octaspace toncoin tarik perhati orang cari alternatif;7;6;1;netral
dekat integrasi oracle tangan tantang throughput transaksi ton peran main toncoin insentif operator node oracle;14;4;10;positif
taut guna situs web github coinmarketcap telegram komunitas telegram;5;0;5;positif
tarik ton satu mata uang platform telegram dasar toncoin opsi non fiat eksklusif beli telegram premium jalan iklan hasil bintang layan verifikasi alternatif;18;2;16;positif
kenal gerbang ton blockchain cari dompet cepat aman mudah toncoin aset mytonwallet pilih sempurna alas;15;5;10;positif
butuh harga dengan;3;5;-2;negatif
toncoin ton turun turun bitcoin k potensi jangka zona support utama rebound investasi;14;0;14;positif
oracle ton imbang desentralisasi efisiensi pasok data dapps storm trade evaa peran main toncoin insentif operator oracle eko;7;3;4;positif
toncoin ton tingkat nilai kira untung cryptopolitan ton capai berita kini dukung eksklusif telegram ton integrasi ton;30;4;26;positif
bangkit getar tarik x dapat ton unlock singkat seringai jalan penasaran jalan liar tonco;11;6;5;positif
harga toncoin hadap ketidakpastian jatuh dompet ton aset defi waspada pasar kripto gejolak kripto;8;0;8;positif
mana aset campur osmosis dukung aset padu osmosis dukung aset bitcoin solana usdt ethereum polkadot toncoin ikhtisar lengkap kunjung;18;0;18;positif
mpeppe mpepe sinar toncoin ton anjlok investor kripto cari lindung hiu navigasi air hangat kuat dunia;12;9;3;positif
kembang tarik dunia altcoin qubetics kenal teknologi dompet inovatif toncoin bayar web stellar luas jangkau lintas batas;13;3;10;positif
hai elan tinggal iran kirim uang alamat dompet toncoin uqazbaehkmsccxk nfvpmediqb wgcckgofvvwiw;6;0;6;positif
miliar wbr bakar;1;0;1;netral
terima sbt toncoin tonxu;2;0;2;positif
toncoin ton lonjak gera paus likuidasi shorts juta;6;0;6;positif
web gaming kompetitif web hasil uang cipta alam kompetitif tarik main milik kendali evolusi tapswap skalabilitas game bas terampil definisi ulang industri;19;0;19;positif
ekonomi transparan percaya main tradisional dapat mekanisme kali kendali entitas pusat tapswap bangun kompetisi anti rusak adil verifikasi hadiah on chain ekonomi desentralisasi untung;28;7;21;positif
bebas pay to win gaming juang adil kantong kalah talenta nyata tapswap ubah saing uang tunai tentu sukses transparansi blockchain harga desentralisasi bantu gerak ekonomi;31;11;20;positif
tipu telegram maksud toncoin uji tuntas;6;0;6;positif
toncoin;0;0;0;netral
sandi toncoin;0;0;0;netral
klaim sbt sandi toncoin;0;0;0;netral
y bot klaim toncoin guna undang guna bot telegram proses klaim ton and;5;4;1;netral
altcoin tingkat tantang dominasi toncoin alas;4;4;0;netral
koin beli;2;0;2;positif
litecoin toncoin hadap gejolak pasar prapenjualan koin meme gerak ai panshibi lonjak lampau juta sensasi kripto viral;7;5;2;positif
banteng lari;0;5;-5;negatif
periksa guna aktif bot airdrop uxuy terima spin dapat up toncoin taut;9;7;2;positif
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet onana dangote amin batal patrick dorgu jet li;12;5;7;positif
juang arti cryptocurrency blockchain airdrop sulit percaya ton toncoin blockchain nya mata uang digital;6;2;4;positif
hasil roi token toncoin eth wbtc weth uni v pos;3;0;3;positif
harga toncoin hari februari cmc peringkat;3;0;3;positif
kira harga toncoin ton februari;5;0;5;positif
prediksi harga toncoin ton februari;6;0;6;positif
prediksi harga toncoin ton februari;6;0;6;positif
ya program afiliasi telegram stars langsung hasil tumbuh dapat komisi belanja referensi undang beli telegram stars toncoin belanja ubah bintang;28;0;28;positif
ton blockchain cryptocurrency asli toncoin tawar platform kuat aplikasi desentralisasi kontrak pintar fokus interoperabilitas alat ramah kembang jadi ekosistem janji inovasi blockchain nikmat;24;8;16;positif
toncoin mata uang kripto asli blockchain ton kenal the open network kembang telegram rancang sedia platform desentralisasi aman aplikasi blockchain kontrak pintar aplikasi desentralisasi;13;13;0;netral
acara ton ayo ikut naik papan peringkat uang gabung mari;11;8;3;positif
baru toko kaos kripto keren bitcoin ethereum dogecoin solana toncoin pi network desain hive ubah blockchain penuh gaya kaos kripto favorit pi hive btc eth doge sol ton;7;8;-1;netral
insentif ekonomi libat toncoin dorong operator oracle tahan layan data kualitas ton;10;3;7;positif
daftar token l avalanche avax bnb bnb hyperliquid hype injective inj sonic s sei sei solana sol sui sui toncoin ton tron trx sedia eksklusif;7;0;7;positif
ingat bonus postingan bagi kali besok ton menang untung total hadiah rebut lewat sempat gratis;27;0;27;positif
tukar instan koin token harga baik daftar tunda transaksi cepat aman;17;0;17;positif
stiker nft telegram ton suka madu utilitas stiker obrol aksesibilitas bintang toncoin budaya meme pudgy penguins dogs kalah ajaib sosial blockchain defi nft khusus bera menang;11;4;7;positif
tukar instan koin token harga dua tunda kerumit tukar cepat aman;11;5;6;positif
tukar instan koin token harga baik cepat aman repot coba;14;5;9;positif
harga ath nya ton;3;0;3;positif
oracle ton manfaat mata uang kripto asli jaring toncoin insentif sedia data model ekonomi banding sistem oracle blockchain ethereum chainlin;21;9;12;positif
toncoin ton mc mc mc;0;0;0;netral
gantung parameter jaring ekosistem mati layak proyek komunitas bagus story say;16;3;13;positif
sol sui ton alts kapital milik atm jurus undervalued bitcoin k;1;0;1;netral
minggu ubah bullish;4;0;4;positif
integrasi tonstaker umum tonstakers umum integrasi luas opsi staking cair guna toncoin mitra guna oleh hadiah kompetitif akses aplikasi ton defi;21;5;16;positif
toncoin mati;4;0;4;positif
tolong dengar toncoin token jaga ton verifikasi;7;0;7;positif
lampau game web integrasi blockchain gimmick tingkat saing kembang milik main kontrol aset hadiah milik nilai dunia nyata cermin ubah transaksi digital praktis;38;0;38;positif
main hasil saldo cerdas hasil token anvi belanja main strategis posisi papan peringkat atas desa rencana capai game kontribusi hadiah nyata selaras prinsip utilitas;33;4;29;positif
laku binatang buruk luncur buruk;0;6;-6;negatif
mcap b litecoin ltc mcap b longsor avax mcap b tulang tulang mcap b bintang xlm mcap b gu;4;0;4;positif
bullish ton angkat kripto;7;0;7;positif
mcap b litecoin ltc mcap b tulang tulang mcap b longsor avax mcap b bintang xlm mcap b;4;0;4;positif
temu kuat ton toncoin ubah main dunia kripto transaksi super cepat jangkau sama kripto;20;0;20;positif
aspekfitur inikemungkinan tingkat utilitas toncoinpembayaran staking rewards dappsopsi bayar nyata integrasi eksternal dompet alam guna telegram staking sederhanaantarmuka intuitiffitur eksklusif;16;0;16;positif
berita tarik dunia kripto dompet inovatif qubetics bayar web toncoin tumbuh lintas batas stellar gelombang baru wawas;7;7;0;netral
nilai tukar sowget naira dolar e currency beli jual bitcoin instaforex biner usdt solana toncoin volet southampton tuan biggs palmer afcon ferran;9;0;9;positif
toncoin capai zona beli sejarah rebound;9;0;9;positif
tanggal februari data jangka definisi pegang tahun hasil untung kesan;13;9;4;positif
investor toncoin untung tvl m kuat;7;0;7;positif
alas nilai toncoin bintang beri mudah bayar toncoin notcoin bintang bintang sial;12;5;7;positif
bayang dunia media sosial bebas sensor kendali guna usaha toncoin dukung aplikasi desentralisasi telegram saksi media sosial web;18;8;10;positif
teman teman mari laku selesai putar hasil pasar putus hadiah menang kali toncoin kondisi komentar postingan ambil putus hakim ankapistan;23;5;18;positif
daftar blockchain entri bitcoin btc ethereum eth xrp xrp bnb bnb solana sol dogecoin doge cardano tron trx pi network coin pi sui network sui avalanche avax stellar xlm litecoin ltc toncoin ton hedera hbar polkadot dot hyperliquid;1;0;1;netral
mpeppe mpepe muncul jaket pelampung kripto toncoin ton anjlok hiu cari air hangat navigasi laut gejolak;6;9;-3;negatif
turun harga toncoin bot tambang telegram palsu meme kebun binatang tapswap dll;4;6;-2;negatif
bitcoin solana ethereum sumbang libat sosial kripto btc sol eth ikut xrp usdc dogecoin cardano sonic trump resmi binance coin chainlink gigachad pepe sui celestia toncoin;6;7;-1;netral
ton tonusd jam elemen bullish dagang dagang posisi buy beli toncoin ton usd harga;12;0;12;positif
rsi jam zkj vidt toncoin rsi jam elx vic ok badger;4;0;4;positif
weton transformasi jaring buka mudah akses efisien mula ahli weton sederhana proses toncoin;20;3;17;positif
hai toncoin tarung lupa permata sembunyi bitch token diversifikasi portofolio kripto potensi untung lewat;17;3;14;positif
toncoin gerak diam diam capai level potensi tren khawatir pasar mkr turun tekan btc pulih momentum bullish eth hadap tekan investor prioritas btc k;19;2;17;positif
harga buat agregator swap nyaman;8;0;8;positif
tarung toncoin harga level tonton;3;7;-4;negatif
tarung toncoin level perhati;0;3;-3;negatif
atas perhati minggu;0;4;-4;negatif
tarung toncoin level perhati;0;3;-3;negatif
toncoin hadap level resistensi signifikan sentimen pasar alih tahap tolak jelajah informasi;2;7;-5;negatif
rsi jam zkj vidt toncoin rsi jam elx vic ok badger;4;0;4;positif
atas bitcoin ethereum tether usdt xrp bnb solana usdc dogecoin cardano tron toncoin;0;4;-4;negatif
aptos sui sei toncoin mana solana hadir teknologi tuju unik salah ganti solana dapat;10;4;6;positif
tukar cepat mudah aman perlu;12;0;12;positif
tukar kripto butuh detik;1;5;-4;negatif
terima kasih tukar kripto klik;10;0;10;positif
menang cundang utama atas pasar menang eos eos form toncoin ton cronos cro flare flr losers unus sed leo leo gera move berachain bera;8;4;4;positif
rsi zkj vidt toncoin rsi elx oik vic sedia badger;2;0;2;positif
rsi jam zkj vidt toncoin rsi jam elx oik vic sedia badger;2;0;2;positif
main baik vs bitcoin btc jam atas maret aset perf jam perf jam vs btc eos eos toncoin ton solv protocol solvbtc bbn solvbtc bbn kronos cro jupiter jup;5;4;1;netral
dana cair juta kenal dwf labs luncur produk kripto pertama as tingkat luncur telegram maaf diri bitmex ikut baru;15;5;10;positif
dagang baca lilin ahli astrologi baca bintang baca meme sinar destny ingat meme tanda;11;2;9;positif
lewat bitcoin abai eth tertawa pepe takdir lewat dengar mistis masuk akal karma baik selagi;14;8;6;positif
ekosistem kaya janji;2;0;2;positif
orang teriak dyor ta manajemen risiko pegang destny balik kristal meme grafik palsu ramal nyata gabung takdir;4;20;-16;negatif
dana cair juta kenal dwf labs blackrock luncur produk kripto pertama as toncoin tingkat grok luncur telegram trump maaf diri bitmex;15;2;13;positif
atas bitcoin ethereum tether usdt xrp bnb solana usdc dogecoin cardano tron toncoin;0;4;-4;negatif
rsi jam zkj vidt toncoin rsi jam elx oik vic sedia badger;2;0;2;positif
zeta;0;0;0;netral
jangkau batas ton definisi ulang batas takdir enkripsi;3;6;-3;negatif
maju kenal belas kasihan era tertawa rebut kuasa orang dapat untung syarat rugi hidup syarat mati;30;4;26;positif
tanggung orang kembang cerdas terampil fisik orang wajib kembang cerdas terampil fisik jaga keber;16;4;12;positif
cepat mudah platform level;6;0;6;positif
rsi overbought jam zkj vidt toncoin ghst rsi oversold h elx oik vic;0;0;0;netral
tukar kripto butuh detik suka;4;5;-1;netral
bitcoin bawah k buka pintu ton cro mnt render reli btc;3;0;3;positif
potong baja tajam pedang andal pedang;9;2;7;positif
turun serious tanda gera pasar manifestasi destny;1;5;-4;negatif
token milik fundamental kuat destny milik gulung kuno energi kacau sihir aneh coba tebak tahan destny;18;9;9;positif
token guna butuh nabi destny selesai penuh takdir destny;5;5;0;netral
senang betapa mudah dagang kripto berkat alat;14;0;14;positif
dikte diktum fakta ubah radikal;3;7;-4;negatif
tukar layan senang;8;0;8;positif
cepat tukar kesan;3;0;3;positif
dictatorcrypto;0;0;0;netral
harga ath nya ton;3;0;3;positif
jujur alat tukar kripto baik coba;10;0;10;positif
naik bitcoin juang lawan resistensi takut resesi bayang target serendah k analis naik k altcoin toncoin cronos tanda tanda hidup mari lihat;22;9;13;positif
maret mata uang kripto atas inu;0;6;-6;negatif
tukar kripto klik ubah main terima kasih;12;0;12;positif
harga mampu tukar kripto klik;6;0;6;positif
terima kasih bangun agregator kripto lancar;12;0;12;positif
destny land destny;0;0;0;netral
meta destny destny;0;0;0;netral
wen lambo destny panggil tunggang kuda bullish inisiasi destny;4;2;2;positif
gelombang pompa ritual destny lonjak destny;4;0;4;positif
destny daftar pantau bagan nasib ingat selaras destny;8;0;8;positif
ingat toncoin terobos tunggu tunggu bendera bullish incar volume tingkat binance futures tinggal;10;3;7;positif
atas bitcoin ethereum tether usdt xrp bnb solana usdc dogecoin cardano tron toncoin unus;0;4;-4;negatif
pikir paham dunia ubah akibat sebab sebab paham cipta realitas;9;3;6;positif
grafik serious laku bangun destny;0;0;0;netral
tim utilitas nabi gulung tolak tinggal diam destny;4;8;-4;negatif
ikut grafik ikut gulung likuidasi legenda destny;0;6;-6;negatif
milik juta guna aktif juta pegang toncoin;8;2;6;positif
token lapis atas dasar kapital pasar bitcoin btc ethereum eth bnb bnb solana sol cardano tron trx toncoin ton;0;4;-4;negatif
panggil inisiasi destny tunggu layak destny;4;1;3;positif
ton lentur otot btc eth sulit hati hati sayang analis ingat investor sangkal potensi jatuh pasar awas dmi rsi macd navigasi jalan liar kripto;16;4;12;positif
analisis harga kripto april bitcoin btc ethereum eth solana sol dogecoin doge remittix rtx cardano chainlink link toncoin ton;7;0;7;positif
atas bitcoin ethereum tether usdt xrp bnb solana usdc dogecoin cardano tron toncoin;0;4;-4;negatif
analisis harga kripto april btc eth sol doge remittix rtx link toncoin ton;7;0;7;positif
jepit cengkeram hidup hari kerangka kerja terima orang manifestasi tugas dobrak;10;8;2;positif
layan tukar kripto lancar lancar;9;0;9;positif
naegi poker with ton tips chips chip kurang selesai main;6;5;1;netral
pegang kaya dunia juang kendali cerdas buat pikir milik utuh milik paham;10;2;8;positif
dictatorcrypto tentu;0;3;-3;negatif
diktatorcrypto master sistem uang;0;5;-5;negatif
ruang digital batas takluk batas belas kasihan;6;9;-3;negatif
dictatorcrypto ave legiun setia tuju;3;4;-1;netral
jalan;0;0;0;netral
jalan dictatorcrypto pikir kolektif mutlak sejahtera baik penting;7;3;4;positif
ave otak manusia evolusi musnah teknologi produk pikir;10;5;5;positif
harga fitur tukar klik;4;0;4;positif
suka betapa mudah tukar kripto;12;0;12;positif
performa kripto atas jam eos eos jupiter jup cronos cro toncoin ton sui sui;0;4;-4;negatif
toncoin cardano;0;0;0;netral
pilih gulung panggil destny;0;3;-3;negatif
token favorit kasar meditasi jam serius buru buru destny ungkap perlahan destny;5;5;0;netral
koin luncur whitepaper destny luncur ramal gulung rencana garis destny;2;5;-3;negatif
izin tukar token likuiditas amp libat kelola dao terima bayar mudah terima toncoin usdt jetton dunia langsung biaya rendah hubung ton situs layan salah tiga;17;13;4;positif
buka otonomi defi ton kolam nominator guna toncoin ton kontribusi aman jaring jaring proof of stake aman stabilitas jaga validator bantu aman jaring peduli;35;3;32;positif
sederhana agregator jadi ramah guna;10;0;10;positif
koin takut tolak destny harap tunda tulis gulung buru buru ungkap destny;9;4;5;positif
token cantum destny bisik dewa rantai verifikasi formulir ritual destny;4;5;-1;netral
performa kripto atas jam eos eos cronos cro jupiter jup toncoin ton sui sui;0;4;-4;negatif
hasil ton staking staking toncoin;3;0;3;positif
toncoin konsolidasi salur turun tembus jangka hari tembus hasil resistensi kirim harga target minggu;21;0;21;positif
kes cepat sederhana platform;8;0;8;positif
jembatan toncoin tutup juta ton pindah rantai bug rugi tonggak sejarah jembatan cex defi stablecoin asli jembatan ton ethereum bnb tukar;6;21;-15;negatif
sungguh nyaman huawei swr mudah gantung aws;12;3;9;positif
lampau sistem uang era;0;4;-4;negatif
hitung juta berkat;4;0;4;positif
sol amp ton momentum solid kuat guna nyata inj link kejut orang gera tenang ath;19;0;19;positif
april mata uang kripto atas inu;0;6;-6;negatif
game gacha kittymint tari rilis kemarin tari turun air bersih;8;1;7;positif
game gacha kittymint tari rilis kemarin tari turun airdrop air bersih;8;1;7;positif
suka beli pop pdzmrjhtjpxgsqcbzzmqrwnallxfvxwwtxjcq;10;0;10;positif
ton kejut jembatan toncoin tutup mei jembatan klaim aset jembatan ton buka jembatan lintas rantai;6;21;-15;negatif
sewa tambang toncoin sah ton dapat hari toncoin;2;0;2;positif
masuk uang toncoin beli sui es;2;3;-1;netral
harga toncoin jatuh;4;0;4;positif
era aplikasi mini telegram ya buang buang buang buang uang buang buang;4;22;-18;negatif
longsor avax mcap b bintang xlm mcap b token leo leo mcap b toncoin ton mcap b shiba inu shib;0;0;0;netral
jembatan juta ton jembatan og toncoin henti mei ton kembang usdt layerzero stargate asli terima kasih bridge time semangat;20;12;8;positif
lotere suara orang menang hadiah pilih gabung;10;7;3;positif
dekade dekade tanda terap teknologi revolusioner tingkat konflik dunia terima teknologi lanjut komentar;9;2;7;positif
mekanisme teleportasi ton btc rencana fasilitas transfer cadang btc ekosistem toncoin lancar sederhana operasi bendahara proyek ai desentralisasi;13;0;13;positif
pecah kumpul data ai off chain dihosting jaring sedia simpan global kompensasi toncoin redundansi akses latensi rendah pipeline inferensi desentralisasi dukung gpu;14;11;3;positif
fungsi jembatan ton jembatan toncoin henti susul henti jusdt ekonomi;0;16;-16;negatif
strategi analisis hari bentuk tren tunggu tren bentuk;13;4;9;positif
toncoin;0;0;0;netral
tuju jembatan guna dunia integrasi teknologi cryptocurrency hidup hari ton;10;4;6;positif
tunjuk setor tabung toncoin efektif taut tabung ton aktif apr salin buka google chrome deapp web browser connect wallet gt pilih siklus sesuai;24;2;22;positif
nilai tukar sowget naira dolar mata uang elektronik beli jual bitcoin instaforex biner usdt solana toncoin volet kai kai raja sunny ade llona olamide peter obi rumi waec;9;2;7;positif
bagus hw kas qubic;3;0;3;positif
kas;0;0;0;netral
toncoin ton konsolidasi segitiga tembus konfirmasi harga gerak;12;0;12;positif
kabar hashwallet dukung filecoin toncoin ethereum classic;6;0;6;positif
